ID	TARGET_ID	ID_REF	TARGET_REF	MENOR
2412	1	945	1	0.0015221469999970871
2414	1	117	1	0.0347094959999974
2416	1	141	0	0.0012029119999998894
2418	1	872	1	0.00874983400000029
2419	1	899	1	0.017485233000003264
2420	0	1808	1	0.005703265999997598
2421	0	335	0	0.01023311199999899
2425	1	339	0	0.03072765200000105
2427	1	958	0	0.05893893500000835
2428	0	729	0	0.0026461450000008213
2431	1	471	1	0.009953915999998841
2434	0	210	1	0.003931901000000515
2435	1	1102	1	0.002706544000000921
2441	0	1914	0	0.001425008999999866
2442	0	401	1	0.0017727919999988018
2443	1	1445	1	0.014176825999999032
2447	1	628	1	0.03949750600000135
2448	1	302	1	0.022043647000001165
2449	1	1371	1	0.0038802459999986993
2450	0	1933	1	0.013027039999999435
2451	1	1812	1	1.0420299999891469E-4
2452	1	362	1	0.003460516000000524
2453	1	1333	1	0.009454778999998581
2457	1	1296	1	5.947669999990524E-4
2463	0	489	0	2.3354199999969794E-4
2466	1	74	1	0.038807011000002056
2469	0	1832	1	0.004388330999998136
2470	1	379	0	0.004516044000002495
2471	1	801	0	0.02412289799999856
2472	1	937	1	0.0112237950000047
2473	1	802	1	0.014920879999999137
2475	1	1135	0	0.0015730709999994819
2476	1	1022	0	0.00974535399999965
2477	1	1339	1	0.07211908000000111
2478	1	806	1	0.004266978000000421
2479	0	876	1	0.017082805000000256
2482	0	74	1	0.015817514999998394
2483	1	785	1	0.002541706999993565
2488	0	1664	1	0.007697600999999832
2489	1	1346	0	0.021928534000008826
2490	1	677	1	0.004585720999999321
2492	1	1328	1	9.068799999667476E-5
2494	1	1564	1	0.010944804000001085
2495	1	227	1	0.056340290000017834
2498	0	456	1	0.02732478299999741
2499	1	46	1	0.027043013999996646
2500	1	116	0	0.015540200999997644
2502	1	478	1	0.008696888000002012
2503	1	1354	1	0.01789529300000048
2507	1	1660	1	0.09678496899999889
2510	1	751	1	0.024245935000002383
2511	1	1799	1	0.005166254000001924
2512	1	1010	1	0.006201943999997406
2514	1	1632	0	0.010459281999999348
2515	0	1240	1	0.02204933400000275
2517	1	608	1	0.17011053600000103
2518	0	1278	1	0.009275543999997637
2519	1	1183	1	0.004429381999999649
2522	1	898	0	0.003226920000000577
2525	0	979	1	0.002474291000000184
2527	1	1814	0	0.007868859000000006
2533	1	1824	1	0.008321720000003197
2534	0	1444	1	0.005524412999999173
2535	1	12	0	0.0018604439999986289
2538	1	263	1	0.0095422110000003
2539	0	600	0	0.01782871500000205
2544	1	648	0	0.01261387799999758
2545	1	944	1	0.018725481000002375
2548	1	538	1	0.06904801000000038
2549	1	1052	0	0.007980131000000057
2552	0	1742	0	0.015446636000001845
2553	1	641	0	0.004997724000000092
2554	1	1525	1	0.14023397399999737
2557	1	505	0	0.004509270999998094
2561	1	1732	1	0.008350377999998493
2566	1	1009	1	0.08606373300000048
2567	1	1217	0	1.969349999990655E-4
2571	1	164	1	0.015819197000000784
2577	1	1614	1	0.014492459999996266
2578	1	1591	0	0.0010191859999999497
2579	1	124	0	0.009138079999999604
2580	0	32	1	0.022323805000000085
2581	1	1509	1	0.006298728999990066
2584	1	1732	1	0.0067847409999997055
2585	1	1585	1	3.6271299999879325E-4
2587	1	566	1	0.026900833000012114
2588	1	1947	1	0.0018097010000026614
2589	0	611	1	0.036478742999999536
2594	0	1372	0	9.794760000009228E-4
2599	1	411	1	0.011222228000000278
2602	1	1043	1	0.06066871400000173
2607	1	831	0	9.738469999995836E-4
2612	1	928	1	0.009251142000001877
2613	1	683	0	0.0034262470000028244
2617	1	1228	1	4.371819999984261E-4
2619	0	1722	0	0.012439971000001826
2621	1	1710	1	0.012472594999999309
2622	1	1020	1	0.0025307119999999905
2626	1	611	1	0.017062314000000356
2628	0	764	0	0.2406891520000075
2639	1	380	1	0.03608420199999873
2640	1	801	0	0.032896320000001644
2642	0	1734	0	0.04988168899999934
2645	1	1773	1	0.011083821999998023
2646	1	494	0	0.0019303359999999214
2650	1	1102	1	0.004371902000000816
2652	0	1756	1	6.35231999999597E-4
2653	0	1017	1	0.007142917999999998
2657	1	1153	1	0.01045800299999744
2658	1	1594	1	0.009820729000000306
2660	0	1232	0	0.008518621000002335
2663	1	1771	1	0.06619851099999785
2669	1	1830	1	0.002748734000001418
2670	0	526	1	0.013870355000001666
2672	1	1924	1	0.04387023000000134
2674	1	690	1	0.010850707000001458
2675	1	831	0	0.002827114999999547
2677	1	292	1	0.006138940999998788
2679	1	561	1	1.530999995669191E-6
2682	0	243	0	0.004022218000001132
2684	1	1332	1	0.00436100000000339
2685	0	1447	1	0.01639621400000213
2686	1	1618	1	0.0728766449999978
2690	0	670	1	0.03779120200000019
2692	1	1897	1	0.0472207030000007
2694	1	1590	1	0.006375444000002339
2696	1	554	0	0.05726871700000302
2698	1	34	1	0.025565230999999855
2700	1	547	1	0.020977432999996326
2704	1	341	1	0.010926596000002453
2705	1	173	0	0.028621771999998824
2710	1	1369	1	0.0035661209999986454
2711	0	94	1	0.0012014879999986405
2712	1	301	1	0.03033528399999952
2713	1	988	0	0.007578646000002465
2718	0	1244	1	0.004590802999999699
2720	1	605	1	0.026936683000000627
2725	1	200	1	0.025755015000002546
2726	1	39	1	0.005111739000000837
2728	1	1841	1	0.010392760000000223
2729	1	1662	1	0.01622529000000128
2732	0	849	0	0.023706299000000097
2733	1	1734	0	0.011551544999999663
2734	0	394	1	0.0016530109999983722
2735	1	1676	1	0.023501595000001485
2737	1	681	0	0.006350567999999335
2739	0	78	0	1.187118399000001
2741	1	298	1	0.019968161000001317
2742	1	1052	0	0.007063053000001318
