ID	TARGET_ID	ID_REF	TARGET_REF	MENOR
23091	1	21550	1	2.4510200000094073E-4
23092	1	1058	1	5.55980999999317E-4
23093	0	16768	1	0.0024735889999980554
23096	0	19082	0	0.007736746999991384
23097	1	6174	1	8.045350000021045E-4
23098	1	10366	1	0.006233720999998971
23101	1	19979	1	7.462669999971361E-4
23102	0	18600	1	1.2127199999989458E-4
23103	1	14446	0	1.9146999997943226E-5
23104	1	3078	0	2.6701399999995434E-4
23106	1	2979	1	5.359320000009049E-4
23108	0	2387	0	0.0011954119999972868
23110	1	4568	1	0.00294186400000207
23119	1	8150	1	1.9336699999961127E-4
23120	1	16633	1	0.002524640000000744
23124	1	21122	1	2.7288999999974806E-4
23127	1	11055	1	0.002701882000000211
23132	0	10119	1	2.9518899999914083E-4
23133	0	18385	1	2.5881299999641616E-4
23138	1	7444	0	0.0046518609999983696
23140	1	3270	1	5.540179999989903E-4
23145	1	1352	1	0.0026318009999997116
23146	0	371	1	0.002587909000000277
23147	1	16587	1	5.004999999336235E-6
23148	1	11628	1	0.0014749720000000188
23149	1	1157	1	6.154830000024702E-4
23150	1	9254	1	0.0019533779999978407
23154	1	16785	1	7.834180000012569E-4
23157	1	17616	1	2.922070000015431E-4
23160	0	20995	0	0.007034258999997878
23161	1	4940	0	4.219809999890245E-4
23165	1	22665	0	0.0010566470000017425
23167	1	9769	1	2.9946499999944365E-4
23168	0	13859	1	1.132370000016536E-4
23169	1	22588	1	7.108300000124856E-5
23172	1	21535	1	5.002429999989566E-4
23173	1	8150	1	3.0842500000094475E-4
23174	1	15188	0	9.332900000291744E-5
23177	1	4801	1	9.644270000079835E-4
23178	1	13899	1	4.5401300000147415E-4
23179	1	2985	1	0.0020030390000009834
23182	1	15996	1	0.0016280900000109622
23186	0	5207	1	0.003244489000001849
23187	1	15287	0	3.4067700000206536E-4
23190	1	10228	1	0.0019435890000023548
23196	1	19260	1	2.4935200000042457E-4
23198	0	10556	1	4.397070000036196E-4
23199	1	202	1	0.0014121709999953547
23201	0	19976	1	0.0018369339999999568
23203	1	2093	1	5.55708999998572E-4
